"Method","alpha","n","p","seed","s","est_error","est_error_FP","TPR","FPR"
"two-step",0.05,10000,1000,188,10,0.137267973539809,0.0763639126948984,1,0.0595959595959596
"two-step+refitted",0.05,10000,1000,188,10,0.070553835577531,0.327822124393424,1,0.0595959595959596
"two-step oracle",0.05,10000,1000,188,10,0.0772366584713615,0,NA,NA
"two-step",0.05,10000,1000,189,10,0.107603310434408,0.0666313492068224,1,0.0606060606060606
"two-step+refitted",0.05,10000,1000,189,10,0.0792635837483537,0.329477790936776,1,0.0606060606060606
"two-step oracle",0.05,10000,1000,189,10,0.0775263639527565,0,NA,NA
"two-step",0.05,10000,1000,18,10,0.134254500143735,0.0656965117565397,1,0.0373737373737374
"two-step+refitted",0.05,10000,1000,18,10,0.0446281241016732,0.290352465896848,1,0.0373737373737374
"two-step oracle",0.05,10000,1000,18,10,0.0481541110771335,0,NA,NA
"two-step",0.05,10000,1000,190,10,0.161565297638527,0.0380729672619478,1,0.0191919191919192
"two-step+refitted",0.05,10000,1000,190,10,0.0558546588866569,0.226109180888442,1,0.0191919191919192
"two-step oracle",0.05,10000,1000,190,10,0.0577318717547688,0,NA,NA
"two-step",0.05,10000,1000,191,10,0.11222307854475,0.0827660445435106,1,0.0515151515151515
"two-step+refitted",0.05,10000,1000,191,10,0.0399041713113122,0.322804476448953,1,0.0515151515151515
