"Method","alpha","n","p","seed","s","est_error","est_error_FP","TPR","FPR"
"two-step oracle",0.05,10000,1000,19,10,0.119064700086065,0,NA,NA
"two-step(bic)",0.05,10000,1000,1,10,0.069497246352468,0,1,0
"two-step+refitted",0.05,10000,1000,1,10,0.058023515340824,0,1,0
"two-step oracle",0.05,10000,1000,1,10,0.0705017573995389,0,NA,NA
"two-step(bic)",0.05,10000,1000,200,10,0.123451617590248,0,1,0
"two-step+refitted",0.05,10000,1000,200,10,0.11835237354447,0,1,0
"two-step oracle",0.05,10000,1000,200,10,0.128748612782677,0,NA,NA
"two-step(bic)",0.05,10000,1000,201,10,0.0998862647613111,0,1,0
"two-step+refitted",0.05,10000,1000,201,10,0.0635687761425957,0,1,0
"two-step oracle",0.05,10000,1000,201,10,0.0686238616048221,0,NA,NA
"two-step(bic)",0.05,10000,1000,202,10,0.0880462777541964,0,1,0
"two-step+refitted",0.05,10000,1000,202,10,0.0606180082731305,0,1,0
"two-step oracle",0.05,10000,1000,202,10,0.0580267153907655,0,NA,NA
"two-step(bic)",0.05,10000,1000,203,10,0.103269071053625,0.0239076115122051,1,0.00101010101010101
"two-step+refitted",0.05,10000,1000,203,10,0.084719315885608,0.0761277760042721,1,0.00101010101010101
