"Method","alpha","n","p","seed","s","est_error","TPR","FPR"
"two-step oracle",0.05,10000,1000,219,10,0.0082811451332464,NA,NA
"glmnet",0.05,10000,1000,219,10,0.04829146799569,1,0
"two-step",0.05,10000,1000,21,10,0.08446958128006,1,0.0181818181818182
"two-step+Adaptive Lasso",0.05,10000,1000,21,10,0.307724667867708,1,0.0181818181818182
"two-step oracle",0.05,10000,1000,21,10,0.0136317207253108,NA,NA
"glmnet",0.05,10000,1000,21,10,0.0462805022803984,1,0
"two-step",0.05,10000,1000,220,10,0.066179241901086,1,0.0121212121212121
"two-step+Adaptive Lasso",0.05,10000,1000,220,10,0.311662417662331,1,0.0121212121212121
"two-step oracle",0.05,10000,1000,220,10,0.0105957187600439,NA,NA
"glmnet",0.05,10000,1000,220,10,0.0478818418571184,1,0
"two-step",0.05,10000,1000,221,10,0.058235146962067,1,0.00707070707070707
"two-step+Adaptive Lasso",0.05,10000,1000,221,10,0.259312543020222,1,0.00707070707070707
"two-step oracle",0.05,10000,1000,221,10,0.00832074775957221,NA,NA
"glmnet",0.05,10000,1000,221,10,0.0458066049787557,1,0
